N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"151,900","하락 8,600",-5.36%,100,"8,991,930","5,919,638",51.74,"34,880,240",31.54,9.03
2,SK하이닉스,"842,000","하락 67,000",-7.37%,"5,000","6,129,780","728,002",53.47,"6,691,750",17.17,31.06
3,현대차,"480,500","하락 19,500",-3.90%,"5,000","983,861","204,758",31.34,"2,462,483",12.08,12.43
4,삼성전자우,"110,600","하락 6,800",-5.79%,100,"902,468","815,975",77.58,"3,546,639",22.97,N/A
5,LG에너지솔루션,"382,500","하락 15,500",-3.89%,500,"895,050","234,000",4.76,"347,821",-102.22,-4.93
6,삼성바이오로직스,"1,716,000","하락 29,000",-1.66%,"2,500","794,353","46,291",12.69,"58,058",76.53,10.45
7,SK스퀘어,"506,000","하락 64,000",-11.23%,100,"668,361","132,087",51.44,"1,155,442",9.59,21.70
8,한화에어로스페이스,"1,240,000","하락 60,000",-4.62%,"5,000","639,386","51,563",44.86,"285,105",22.66,53.94
9,기아,"150,600","하락 2,000",-1.31%,"5,000","587,962","390,413",40.02,"1,264,562",7.64,19.09
10,HD현대중공업,"556,000","하락 19,000",-3.30%,"5,000","583,584","104,961",15.03,"199,049",38.19,11.39
11,두산에너빌리티,"87,100","하락 3,500",-3.86%,"5,000","557,929","640,561",23.19,"6,343,510",-547.80,1.52
12,KB금융,"133,600","하락 1,600",-1.18%,"5,000","509,633","381,462",75.80,"1,192,418",8.95,8.86
13,삼성물산,"292,000","하락 9,500",-3.15%,100,"496,332","169,977",30.00,"327,891",23.88,6.83
14,셀트리온,"204,000","하락 6,000",-2.86%,"1,000","471,160","230,961",22.28,"580,698",64.39,2.46
15,NAVER,"269,000","하락 6,000",-2.18%,100,"421,934","156,853",40.73,"1,729,237",19.43,7.90
16,한화오션,"134,900","하락 3,600",-2.60%,"5,000","413,352","306,413",11.01,"2,350,076",34.07,11.52
17,신한지주,"82,700","하락 1,600",-1.90%,"5,000","401,504","485,495",60.11,"1,255,972",8.46,8.11
18,현대모비스,"440,500","하락 8,500",-1.89%,"5,000","399,677","90,733",43.52,"347,807",9.78,9.35
19,한국전력,"57,400",하락 900,-1.54%,"5,000","368,487","641,964",23.38,"2,696,985",4.47,9.22
20,삼성생명,"179,100","하락 9,200",-4.89%,500,"358,200","200,000",23.29,"228,921",16.42,6.18
21,고려아연,"1,659,000","하락 225,000",-11.94%,"5,000","346,283","20,873",9.66,"91,882",107.08,2.28
22,HD현대일렉트릭,"840,000","하락 49,000",-5.51%,"5,000","302,796","36,047",36.97,"161,945",49.09,39.34
23,삼성SDI,"359,500","하락 30,500",-7.82%,"5,000","289,705","80,586",23.66,"1,456,303",-49.25,3.13
24,하나금융지주,"103,100","상승 3,000",+3.00%,"5,000","286,954","278,326",67.75,"1,224,985",7.47,9.11
25,HD한국조선해양,"404,000","하락 9,500",-2.30%,"5,000","285,923","70,773",33.82,"192,162",14.12,11.16
26,POSCO홀딩스,"342,000","하락 5,500",-1.58%,"5,000","276,791","80,933",29.16,"516,356",61.51,2.00
27,카카오,"58,700","하락 2,700",-4.40%,100,"259,745","442,495",31.22,"2,647,885",111.81,0.56
28,삼성중공업,"27,650","하락 1,800",-6.11%,"1,000","243,320","880,000",32.87,"7,213,097",69.12,1.77
29,현대로템,"212,500","하락 18,000",-7.81%,"5,000","231,927","109,142",33.49,"1,502,015",33.49,21.85
30,미래에셋증권,"40,400","하락 2,350",-5.50%,"5,000","229,103","567,086",11.31,"5,950,098",23.18,7.94
31,삼성화재,"481,500","하락 19,500",-3.89%,500,"221,544","46,011",56.36,"69,880",12.08,13.11
32,우리금융지주,"30,100",하락 150,-0.50%,"5,000","220,957","734,076",47.92,"2,288,061",6.93,9.39
33,SK,"300,000","하락 33,500",-10.04%,200,"217,508","72,503",28.25,"318,836",12.86,-5.64
34,효성중공업,"2,287,000","하락 316,000",-12.14%,"5,000","213,252","9,325",26.33,"171,910",48.92,14.90
35,삼성전기,"285,000","상승 6,000",+2.15%,"5,000","212,877","74,694",38.33,"1,387,511",31.98,8.16
36,LG화학,"298,000","하락 12,500",-4.03%,"5,000","210,365","70,592",34.25,"428,333",-15.78,-2.11
37,메리츠금융지주,"117,900","상승 1,300",+1.11%,500,"206,586","175,222",14.80,"605,042",9.37,23.44
38,포스코퓨처엠,"218,500","하락 5,000",-2.24%,500,"194,347","88,946",9.18,"635,580",-84.59,-7.98
39,현대글로비스,"247,000","상승 5,000",+2.07%,500,"185,250","75,000",47.20,"513,069",13.33,13.24
40,HMM,"19,560",하락 440,-2.20%,"5,000","184,497","943,238",7.06,"1,944,875",7.60,15.35
41,KT&G,"154,800",상승 900,+0.58%,"5,000","182,628","117,977",43.64,"516,264",16.73,12.66
42,SK이노베이션,"107,600","하락 4,400",-3.93%,"5,000","181,901","169,053",12.68,"513,165",-7.62,-9.65
43,한미반도체,"190,400","하락 20,600",-9.76%,100,"181,474","95,312",8.25,"2,587,793",75.83,27.43
44,한화시스템,"93,900",하락 300,-0.32%,"5,000","177,395","188,919",9.37,"5,433,838",29.80,19.63
45,HD현대,"224,000","하락 10,000",-4.27%,"1,000","176,945","78,993",26.05,"130,615",24.65,6.36
46,기업은행,"21,700",하락 450,-2.03%,"5,000","173,041","797,426",14.03,"1,367,289",6.40,8.06
47,LG전자,"97,200","하락 1,900",-1.92%,"5,000","158,326","162,886",32.17,"974,983",16.36,1.81
48,LS ELECTRIC,"527,000","하락 39,000",-6.89%,"5,000","158,100","30,000",22.56,"226,019",59.44,13.44
49,한국항공우주,"160,650","하락 7,650",-4.55%,"5,000","156,594","97,475",30.03,"968,125",114.26,10.42
50,하이브,"359,000","하락 15,000",-4.01%,500,"153,410","42,733",20.63,"307,470","-17,950.00",0.31
